"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1.6.1.5.1.2","6a5a2","0540","ROSE","Mon 12 Jan 1981 07:47:42 GMT+00:00","6"
"1.6.1.5.1.3","6a5a3","0541","ROSE","Mon 12 Jan 1981 07:48:11 GMT+00:00","6"
"1.6.2","6b","0196","THOM","Thu 20 Dec 1979 02:25:10 GMT+00:00","3"
"1.6.2.1","6b1","0288","ROSE","Fri 9 Jan 1981 06:36:22 GMT+00:00","4"
"1.6.2.2","6b2","0289","THOM","Wed 5 Mar 1980 07:09:11 GMT+00:00","4"
"1.6.2.3","6b3","0290","ROSE","Fri 9 Jan 1981 06:36:46 GMT+00:00","4"
"1.6.2.4","6b4","0291","ROSE","Fri 9 Jan 1981 06:36:57 GMT+00:00","4"
"1.6.2.5","6b5","0292","RVR","Tue 16 Nov 1982 05:10:43 GMT+00:00","4"
"1.6.2.5.1","6b5a","0542","ROSE","Fri 9 Jan 1981 06:37:05 GMT+00:00","5"
"1.6.3","6c","0244","THOM","Fri 21 Dec 1979 00:55:59 GMT+00:00","3"
"1.6.3.1","6c1","0293","ROSE","Mon 12 Jan 1981 07:48:23 GMT+00:00","4"
"1.6.3.2","6c2","0294","ROSE","Fri 9 Jan 1981 06:37:28 GMT+00:00","4"
"1.6.3.3","6c3","0295","RVR","Tue 16 Nov 1982 05:11:19 GMT+00:00","4"
"1.6.3.4","6c4","0296","ROSE","Mon 12 Jan 1981 07:48:37 GMT+00:00","4"
"1.6.3.5","6c5","0297","ROSE","Fri 9 Jan 1981 06:38:46 GMT+00:00","4"
"1.6.3.6","6c6","0298","RVR","Tue 16 Nov 1982 05:12:17 GMT+00:00","4"
"1.6.3.7","6c7","0299","ROSE","Fri 9 Jan 1981 06:39:22 GMT+00:00","4"
"1.6.3.8","6c8","0300","ROSE","Mon 12 Jan 1981 07:48:45 GMT+00:00","4"
"1.7","7","013","THOM","Thu 7 Aug 1980 06:01:22 GMT+00:00","2"
"1.7.1","7a","093","ROSE","Fri 9 Jan 1981 06:39:58 GMT+00:00","3"
"1.7.1.1","7a1","01186","ROSE","Fri 9 Jan 1981 06:40:09 GMT+00:00","4"
"1.7.1.2","7a2","01187","ROSE","Fri 9 Jan 1981 07:24:57 GMT+00:00","4"
"1.7.1.3","7a3","01188","ROSE","Fri 9 Jan 1981 07:25:16 GMT+00:00","4"
