"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1.3.2.7.2","3b7b","0324","","","5"
"1.3.2.7.3","3b7c","0325","","","5"
"1.3.2.7.4","3b7d","0326","","","5"
"1.3.2.7.5","3b7e","0327","","","5"
"1.3.2.7.6","3b7f","0328","","","5"
"1.3.2.7.7","3b7g","0329","","","5"
"1.3.2.8","3b8","0330","","","4"
"1.3.2.8.1","3b8a","0331","","","5"
"1.3.2.8.2","3b8b","0332","","","5"
"1.3.2.8.3","3b8c","0333","","","5"
"1.3.2.8.4","3b8d","0334","","","5"
"1.3.2.8.5","3b8e","0335","","","5"
"1.3.2.8.6","3b8f","0336","","","5"
"1.3.2.8.7","3b8g","0337","","","5"
"1.3.2.8.8","3b8h","0338","","","5"
"1.3.2.8.9","3b8i","0339","","","5"
"1.3.2.8.10","3b8j","0340","","","5"
"1.3.2.8.11","3b8k","0341","","","5"
"1.3.2.8.12","3b8l","0342","","","5"
"1.3.2.8.13","3b8m","0343","","","5"
"1.3.2.8.14","3b8n","0344","","","5"
"1.3.2.8.15","3b8o","0345","","","5"
"1.3.2.8.16","3b8p","0346","","","5"
"1.3.2.8.17","3b8q","0347","","","5"
"1.3.2.8.18","3b8r","0348","","","5"
"1.3.2.8.19","3b8s","0349","","","5"
"1.3.2.8.20","3b8t","0350","","","5"
"1.3.2.8.21","3b8u","0351","","","5"
"1.3.2.8.22","3b8v","0352","","","5"
"1.3.2.8.23","3b8w","0353","","","5"
"1.3.2.8.24","3b8x","0354","","","5"
"1.3.2.8.25","3b8y","0355","","","5"
"1.3.2.8.26","3b8z","0356","","","5"
"1.3.2.8.27","3b8aa","0357","","","5"
"1.3.2.8.28","3b8ab","0358","","","5"
"1.3.2.8.29","3b8ac","0359","","","5"
"1.3.2.8.30","3b8ad","0360","","","5"
"1.3.2.8.31","3b8ae","0361","","","5"
"1.3.2.8.32","3b8af","0362","","","5"
"1.3.2.8.33","3b8ag","0363","","","5"
"1.3.2.8.34","3b8ah","0364","","","5"
"1.3.2.8.35","3b8ai","0365","","","5"
"1.3.2.9","3b9","0366","","","4"
"1.3.2.9.1","3b9a","0367","","","5"
"1.3.2.9.2","3b9b","0368","","","5"
"1.3.2.9.3","3b9c","0369","","","5"
"1.3.2.9.4","3b9d","0370","","","5"
"1.3.2.10","3b10","0371","","","4"
"1.3.2.10.1","3b10a","0372","","","5"
"1.3.2.10.2","3b10b","0373","","","5"
"1.3.2.10.3","3b10c","0374","","","5"
"1.3.2.10.4","3b10d","0375","","","5"
"1.3.2.10.5","3b10e","0376","","","5"
"1.3.2.10.6","3b10f","0377","","","5"
"1.3.2.10.7","3b10g","0378","","","5"
"1.3.2.10.8","3b10h","0379","","","5"
"1.3.2.10.9","3b10i","0380","","","5"
"1.3.2.10.10","3b10j","0381","","","5"
"1.3.2.10.11","3b10k","0382","","","5"
"1.3.2.10.12","3b10l","0383","","","5"
"1.3.2.10.13","3b10m","0384","","","5"
"1.3.2.10.14","3b10n","0385","","","5"
"1.3.2.10.15","3b10o","0386","","","5"
