"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1","","","",""
"1.3.2.3.3","3b3c","032","BKN","Thu 11 May 2006 00:02:13 GMT+00:00"
"1.3.2.3.3.1","3b3c1","097","BKN","Tue 9 May 2006 06:56:37 GMT+00:00"
"1.3.2.3.3.1.1","3b3c1a","0771","BKN","Sat 10 Jun 2006 00:52:07 GMT+00:00"
"1.3.2.3.3.1.2","3b3c1b","0696","BKN","Thu 18 May 2006 07:29:05 GMT+00:00"
"1.3.2.3.3.1.2.1","3b3c1b1","0697","BKN","Thu 18 May 2006 07:29:12 GMT+00:00"
"1.3.2.3.3.1.3","3b3c1c","0169","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.3.1","3b3c1c1","0170","BKN","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.3.1.4","3b3c1d","0171","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.5","3b3c1e","0172","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.6","3b3c1f","0174","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.7","3b3c1g","0184","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.8","3b3c1h","0186","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.9","3b3c1i","0801","BKN","Thu 7 Dec 2006 01:09:59 GMT+00:00"
"1.3.2.3.3.1.10","3b3c1j","0173","BKN","Thu 11 May 2006 00:07:44 GMT+00:00"
"1.3.2.3.3.1.11","3b3c1k","0175","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.12","3b3c1l","0176","BKN","Wed 21 Jun 2006 06:10:41 GMT+00:00"
"1.3.2.3.3.1.12.1","3b3c1l1","0780","BKN","Wed 21 Jun 2006 06:10:44 GMT+00:00"
"1.3.2.3.3.1.13","3b3c1m","0177","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.14","3b3c1n","0178","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.15","3b3c1o","0179","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.16","3b3c1p","0182","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.17","3b3c1q","0183","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.18","3b3c1r","0786","BKN","Thu 7 Dec 2006 00:37:55 GMT+00:00"
"1.3.2.3.3.1.18.1","3b3c1r1","0788","BKN","Thu 7 Dec 2006 00:37:58 GMT+00:00"
"1.3.2.3.3.1.19","3b3c1s","0785","BKN","Thu 7 Dec 2006 00:37:39 GMT+00:00"
"1.3.2.3.3.1.20","3b3c1t","0815","BKN","Thu 7 Dec 2006 01:15:43 GMT+00:00"
"1.3.2.3.3.1.20.1","3b3c1t1","0816","BKN","Thu 7 Dec 2006 01:15:49 GMT+00:00"
"1.3.2.3.3.1.21","3b3c1u","0819","BKN","Thu 7 Dec 2006 01:22:46 GMT+00:00"
"1.3.2.3.3.1.22","3b3c1v","0915","BKN","Thu 7 Dec 2006 01:54:08 GMT+00:00"
"1.3.2.3.3.1.22.1","3b3c1v1","0916","BKN","Thu 7 Dec 2006 01:54:22 GMT+00:00"
"1.3.2.3.4","3b3d","035","BKN","Thu 11 May 2006 00:02:06 GMT+00:00"
"1.3.2.3.4.1","3b3d1","0100","BKN","Thu 11 May 2006 00:02:06 GMT+00:00"
"1.3.2.3.4.1.1","3b3d1a","0875","BKN","Thu 7 Dec 2006 01:36:11 GMT+00:00"
"1.3.2.3.4.1.1.1","3b3d1a1","0876","BKN","Thu 7 Dec 2006 01:36:14 GMT+00:00"
"1.3.2.3.4.1.2","3b3d1b","0208","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.2.1","3b3d1b1","0209","BKN","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.4.1.3","3b3d1c","0210","BKN","Tue 9 May 2006 07:19:02 GMT+00:00"
"1.3.2.3.4.1.4","3b3d1d","0211","BKN","Tue 9 May 2006 07:19:03 GMT+00:00"
"1.3.2.3.4.1.5","3b3d1e","0212","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.5.1","3b3d1e1","0213","BKN","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.4.1.6","3b3d1f","0214","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.7","3b3d1g","0215","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.8","3b3d1h","0216","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.9","3b3d1i","0217","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.10","3b3d1j","0218","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.10.1","3b3d1j1","0219","BKN","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.4.1.11","3b3d1k","0220","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.11.1","3b3d1k1","0221","BKN","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.4.1.12","3b3d1l","0222","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.13","3b3d1m","0223","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.13.1","3b3d1m1","0224","BKN","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.4.1.14","3b3d1n","0225","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.4.1.14.1","3b3d1n1","0226","BKN","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.4","3b4","0622","BKN","Mon 15 May 2006 06:19:58 GMT+00:00"
"1.3.2.4.1","3b4a","038","BKN","Thu 11 May 2006 00:02:23 GMT+00:00"
"1.3.2.4.1.1","3b4a1","0103","BKN","Wed 10 May 2006 07:48:03 GMT+00:00"
"1.3.2.4.1.1.1","3b4a1a","0235","BKN","Thu 11 May 2006 00:10:49 GMT+00:00"
"1.3.2.4.1.1.2","3b4a1b","0250","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.3","3b4a1c","0251","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.4","3b4a1d","0252","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.5","3b4a1e","0253","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.6","3b4a1f","0236","BKN","Thu 7 Dec 2006 01:33:28 GMT+00:00"
"1.3.2.4.1.1.6.1","3b4a1f1","0237","BKN","Fri 19 May 2006 07:47:39 GMT+00:00"
"1.3.2.4.1.1.6.1.1","3b4a1f1a","0238","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.6.1.2","3b4a1f1b","0865","BKN","Thu 7 Dec 2006 01:33:44 GMT+00:00"
"1.3.2.4.1.1.7","3b4a1g","0241","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.8","3b4a1h","0242","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.9","3b4a1i","0245","BKN","Tue 9 May 2006 07:21:42 GMT+00:00"
"1.3.2.4.1.1.9.1","3b4a1i1","0246","BKN","Thu 7 Dec 2006 01:21:49 GMT+00:00"
"1.3.2.4.1.1.10","3b4a1j","0764","BKN","Wed 7 Jun 2006 00:08:36 GMT+00:00"
"1.3.2.4.1.1.11","3b4a1k","0768","BKN","Thu 7 Dec 2006 01:20:51 GMT+00:00"
"1.3.2.4.1.1.11.1","3b4a1k1","0769","BKN","Thu 7 Dec 2006 01:22:01 GMT+00:00"
"1.3.2.4.1.1.12","3b4a1l","0877","BKN","Thu 7 Dec 2006 01:36:37 GMT+00:00"
"1.3.2.4.1.1.12.1","3b4a1l1","0878","BKN","Thu 7 Dec 2006 01:36:47 GMT+00:00"
"1.3.2.4.2","3b4b","039","BKN","Thu 11 May 2006 00:03:53 GMT+00:00"
"1.3.2.4.2.1","3b4b1","0104","BKN","Thu 11 May 2006 00:02:38 GMT+00:00"
"1.3.2.4.2.1.1","3b4b1a","040","BKN","Thu 7 Dec 2006 01:28:21 GMT+00:00"
"1.3.2.4.2.1.2","3b4b1b","0254","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.2.1.3","3b4b1c","0255","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3","3b4c","041","BKN","Thu 11 May 2006 00:02:30 GMT+00:00"
"1.3.2.4.3.1","3b4c1","0105","BKN","Thu 11 May 2006 00:08:54 GMT+00:00"
"1.3.2.4.3.1.1","3b4c1a","042","BKN","Thu 11 May 2006 00:10:16 GMT+00:00"
"1.3.2.4.3.1.2","3b4c1b","0259","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.3","3b4c1c","0260","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.4","3b4c1d","0261","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
